업종,주소,주선인,성공여부,대분류
자동차 신품 부품 제조업,부산광역시 사상구 학장로63번길 24,한국투자증권㈜,심사승인,제조업4
자연과학 및 공학 연구개발업,부산광역시 금정구 금정로 252 6-7층(구서동),"엔에이치투자증권주식회사,하나증권주식회사,DB금융투자주식회사",심사승인,"전문, 과학 및 기술 서비스업"
항공 여객 운송업,부산광역시 강서구 유통단지1로57번가길 6,"미래에셋증권 주식회사,엔에이치투자증권주식회사",심사승인,운수 및 창고업
"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",부산광역시 강서구 범방2로 6,신영증권㈜,심사승인,제조업4
선박 및 보트 건조업,부산광역시 강서구 미음산단3로 55,한국투자증권㈜,심사승인,제조업4
기타 섬유제품 제조업,부산광역시 강서구 녹산산업중로192번길 24,미래에셋증권 주식회사,심사승인,제조업1
1차 철강 제조업,부산광역시 강서구 녹산산단407로 93,미래에셋증권㈜,심사철회,제조업1
기타 금속 가공제품 제조업,부산광역시 강서구 녹산산단361로 27(송정동),대신증권㈜,심사승인,제조업1
도로 화물 운송업,부산 중구 중앙동4가 79-1 마린센터빌딩 13층,삼성증권㈜,심사승인,운수 및 창고업
"건축기술, 엔지니어링 및 관련 기술 서비스업",부산 중구 중앙동4가 74-1,유안타증권㈜,심사미승인,"전문, 과학 및 기술 서비스업"
일반 목적용 기계 제조업,부산 사하구 신평동 560,대신증권㈜,심사승인,제조업2
1차 철강 제조업,부산 사하구 신평동 370-16,삼성증권㈜,심사승인,제조업1
선박 및 보트 건조업,부산 사하구 신평1동 503,삼성증권㈜,심사승인,제조업4
"구조용 금속제품, 탱크 및 증기발생기 제조업",부산 사하구 신평1동 497,한국투자증권㈜,심사승인,제조업1
봉제의복 제조업,부산 사상구 모라1동 274-2,미래에셋증권 주식회사,심사승인,제조업1
기반조성 및 시설물 축조관련 전문공사업,부산 남구 문현4동 한일오피스텔 715호,엔에이치투자증권주식회사,심사승인,건 설 업
기타 화학제품 제조업,부산 남구 문현4동 815 한일오피스텔 602호,삼성증권㈜,심사미승인,제조업3
선박 및 보트 건조업,부산 금정구 구서동 84-18,신한투자증권 주식회사,심사철회,제조업4
기반조성 및 시설물 축조관련 전문공사업,부산 금정구 구서2동 1033-2,미래에셋증권 주식회사,심사승인,건 설 업
1차 철강 제조업,부산 강서구 송정동1769-2,미래에셋증권㈜,심사승인,제조업1
기타 전문 도매업,부산 강서구 송정동1601-2,미래에셋증권 주식회사,심사승인,도매 및 소매업
일반 목적용 기계 제조업,부산 강서구 송정동 1629-7,미래에셋증권 주식회사,심사승인,제조업2
선박 및 보트 건조업,부산 강서구 송정동 1608-1,메리츠증권(주),심사승인,제조업4
기타 섬유제품 제조업,부산 강서구 녹산산업중로 192번길 7,엔에이치투자증권주식회사,심사승인,제조업1
의료용 기기 제조업,대전시 유성구 테크노2로 306,한국투자증권㈜,심사승인,제조업3
자연과학 및 공학 연구개발업,"대전광역시 유성구 테크로 4로 17, 비715호",유안타증권㈜,심사승인,"전문, 과학 및 기술 서비스업"
일반 목적용 기계 제조업,대전광역시 유성구 테크노8로 13,한국투자증권㈜,심사승인,제조업2
자연과학 및 공학 연구개발업,대전광역시 유성구 테크노8로 13,키움증권㈜,심사승인,"전문, 과학 및 기술 서비스업"
"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",대전광역시 유성구 테크노7로 32-13(용산동),하나증권주식회사,심사승인,제조업4
전자부품 제조업,대전광역시 유성구 테크노5로 69,키움증권㈜,심사승인,제조업2
기초 의약물질 및 생물학적 제제 제조업,대전광역시 유성구 테크노4로 29,한국투자증권㈜,심사철회,제조업3
사진장비 및 광학기기 제조업,"대전광역시 유성구 테크노4로 17, 대덕비즈센터 비동 415호(관평동)",삼성증권㈜,심사중,제조업2
"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",대전광역시 유성구 테크노2로 90,엔에이치투자증권주식회사,심사철회,제조업4
"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",대전광역시 유성구 테크노2로 263-1,KB증권㈜,심사승인,제조업4
의료용 기기 제조업,대전광역시 유성구 테크노2로 200-9,삼성증권㈜,심사승인,제조업3
"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",대전광역시 유성구 테크노2로 199,키움증권㈜,심사승인,제조업4
의료용품 및 기타 의약 관련제품 제조업,대전광역시 유성구 테크노2로 187 216호,한국투자증권㈜,심사승인,제조업3
의료용 기기 제조업,대전광역시 유성구 테크노2로 187,한국투자증권㈜,심사승인,제조업3
소프트웨어 개발 및 공급업,대전광역시 유성구 테크노2로 187,KB증권㈜,심사승인,정보통신업
기초 의약물질 및 생물학적 제제 제조업,대전광역시 유성구 테크노1로 65(관평동),한국투자증권㈜,심사승인,제조업3
전자부품 제조업,대전광역시 유성구 테크노1로 62-7,한국투자증권㈜,심사철회,제조업2
자연과학 및 공학 연구개발업,대전광역시 유성구 테크노10로 51(탑립동),하나증권주식회사,심사철회,"전문, 과학 및 기술 서비스업"
의료용품 및 기타 의약 관련제품 제조업,대전광역시 유성구 테크노10로 44-6,키움증권㈜,심사승인,제조업3
"컴퓨터 프로그래밍, 시스템 통합 및 관리업",대전광역시 유성구 지족로148번길 5-34(지족동),대신증권㈜,심사승인,정보통신업
의약품 제조업,대전광역시 유성구 유성대로1689번길 70,"KB증권㈜,삼성증권㈜",심사승인,제조업3
기초 의약물질 및 생물학적 제제 제조업,대전광역시 유성구 유성대로1628번길 37-24,엔에이치투자증권주식회사,심사승인,제조업3
자연과학 및 공학 연구개발업,"대전광역시 유성구 유성대로 1662 305호 (전민동, 대전바이오벤처타운)",한국투자증권㈜,심사승인,"전문, 과학 및 기술 서비스업"
스포츠 서비스업,"대전광역시 유성구 엑스포로97번길 40, 6층(도룡동)","삼성증권㈜,엔에이치투자증권주식회사,모건스탠리 인터내셔날증권회사 서울지점",심사승인,"예술, 스포츠 및 여가관련 서비스업"
특수 목적용 기계 제조업,대전광역시 유성구 엑스포로339번길 10-19(문지동),"대신증권㈜,미래에셋증권 주식회사",심사철회,제조업4
특수 목적용 기계 제조업,대전광역시 유성구 엑스포로339번길 10-19,"대신증권㈜,미래에셋증권 주식회사",심사철회,제조업4
특수 목적용 기계 제조업,대전광역시 유성구 엑스포로339번길 10-19,"대신증권㈜,미래에셋증권 주식회사",심사승인,제조업4
회사 본부 및 경영 컨설팅 서비스업,"대전광역시 유성구 엑스포로 1, 엑스포타워 2102호",한국투자증권㈜,심사승인,"전문, 과학 및 기술 서비스업"
소프트웨어 개발 및 공급업,대전광역시 유성구 엑스포로 1 16층(도룡동 사이언스센터),하나증권주식회사,심사중,정보통신업
의료용 기기 제조업,"대전광역시 유성구 신성로 155, 4층",대신증권㈜,심사중,제조업3
자연과학 및 공학 연구개발업,대전광역시 유성구 문지로 281-9,엔에이치투자증권주식회사,심사철회,"전문, 과학 및 기술 서비스업"
기초 의약물질 및 생물학적 제제 제조업,대전광역시 유성구 문지로 281-9,엔에이치투자증권주식회사,심사중,제조업3
회사 본부 및 경영 컨설팅 서비스업,대전광역시 유성구 대덕대로556번길 119(도룡동),한국투자증권㈜,심사철회,"전문, 과학 및 기술 서비스업"
소프트웨어 개발 및 공급업,"대전광역시 유성구 대덕대로 593, 9층 901-2호(도룡동, 대덕테크비즈센터)","엔에이치투자증권주식회사,하나증권주식회사",심사승인,정보통신업
의약품 제조업,"대전광역시 유성구 대덕대로 593, 307호",삼성증권㈜,심사미승인,제조업3
일반 목적용 기계 제조업,대전광역시 유성구 국제과학2로 14,한국투자증권㈜,심사승인,제조업2
자연과학 및 공학 연구개발업,대전광역시 유성구 국제과학16로 11,"삼성증권㈜,미래에셋증권 주식회사",심사승인,"전문, 과학 및 기술 서비스업"
의료용 기기 제조업,"대전광역시 유성구 과학로 125 바이오벤처센터동 111호(어은동, 한국생명공학연구원)",미래에셋증권 주식회사,심사승인,제조업3
자동차 신품 부품 제조업,대전광역시 대덕구 신일서로68번길 31,하나증권주식회사,심사승인,제조업4
기타 금속 가공제품 제조업,대전광역시 대덕구 문평서로 42,KB증권㈜,심사중,제조업1
그외 기타 제품 제조업,대전광역시 대덕구 대덕대로1448번길 210,미래에셋증권 주식회사,심사승인,제조업2
일반 목적용 기계 제조업,대전 유성구 탑립동 825 (대덕테크노벨리),교보증권㈜,심사승인,제조업2
의약품 제조업,대전 유성구 전민동 461-8 대전바이오벤처타운 3층,한국투자증권㈜,심사승인,제조업3
자연과학 및 공학 연구개발업,대전 유성구 용산동 559번지,미래에셋증권㈜,심사미승인,"전문, 과학 및 기술 서비스업"
기초 의약물질 및 생물학적 제제 제조업,대전 유성구 용산동 559,미래에셋증권㈜,심사철회,제조업3
"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",대전 유성구 용산동 554,KB증권㈜,심사승인,제조업4
특수 목적용 기계 제조업,대전 유성구 용산동 537,한국투자증권㈜,심사승인,제조업4
통신 및 방송 장비 제조업,대전 유성구 문지동 104-9번지,미래에셋증권㈜,심사승인,제조업2
전자부품 제조업,대전 유성구 문지동 104-13번지,한국투자증권㈜,심사철회,제조업2
반도체 제조업,대전 유성구 문지동 104-13,한국투자증권㈜,심사승인,제조업1
기초 의약물질 및 생물학적 제제 제조업,대전 유성구 도룡동 385-19,삼성증권㈜,심사미승인,제조업3
반도체 제조업,대전 유성구 관평동 1316 대덕테크노밸리 아이3-16블럭,대신증권㈜,심사승인,제조업1
기타 정보 서비스업,대전 서구 괴정동 367-17,한국투자증권㈜,심사승인,정보통신업
기초 화학물질 제조업,대전 대덕구 신일동1696-3,SK증권㈜,심사승인,제조업3
전자부품 제조업,대전 대덕구 신일동 1675-7,유안타증권㈜,심사철회,제조업2
기타 금융업,대전 대덕구 송촌동 292-3,한국투자증권㈜,심사승인,금융 및 보험업
기타 화학제품 제조업,대전 대덕구 문평동 41-5,하나증권주식회사,심사승인,제조업3
기타 금융업,대구시 수성구 수성동2가 118,한국투자증권㈜,심사승인,금융 및 보험업
연료용 가스 제조 및 배관공급업,대구광역시 중구 남산4동 2268-1,신한투자증권 주식회사,심사승인,"전기, 가스, 증기 및 공기 조절 공급업"
토사석 광업,대구광역시 북구 유통단지로3길 40,하나증권주식회사,심사승인,광업
의료용 기기 제조업,대구광역시 동구 율암로 140-9,한국투자증권㈜,심사철회,제조업3
의료용 기기 제조업,"대구광역시 동구 동대구로 489, 8층 834호","엔에이치투자증권주식회사,DB금융투자주식회사",심사중,제조업3
특수 목적용 기계 제조업,"대구광역시 달성군 현풍면 테크노대로2길 10 (중리, (주)대성하이텍)",신한투자증권 주식회사,심사승인,제조업4
특수 목적용 기계 제조업,대구광역시 달성군 유가면 테크노중앙대로 139,한국투자증권㈜,심사승인,제조업4
일차전지 및 축전지 제조업,대구광역시 달서구 이곡동로 11,미래에셋증권 주식회사,심사승인,제조업1
특수 목적용 기계 제조업,대구광역시 달서구 성서공단로25길 16,KB증권㈜,심사승인,제조업4
기타 화학제품 제조업,"대구광역시 달서구 성서공단로11길 62, 302호",미래에셋증권 주식회사,심사승인,제조업3
